id,sex,age,federal_district,type_of_city,knows_election_date,will_vote,candidate,television_usage,internet_usage,education,income,employment,job_type,company_type,weight1
0716761365cce7f5,female,18.0,ural,city with population of less than 50k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,college,high,unemployed,,,1.1125299750702655
0716bf636e4cee86,male,40.0,central,city with population of 100-500k,named correct date,definitely yes,struggle to answer,does not watch,over 4 hours a day,bachelor degree,high,entrepreneur,,"construction, architecture",0.7117657139147245
07166f2b108ce225,male,55.0,siberian,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,high,work for hire,commercial organization,law enforcement agency,0.9641456094182506
0716c01b7c4cebd2,female,40.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,high,parental leave,,,1.9577901062474536
0716694902cce7e9,female,61.0,far eastern,city with population of 100-500k,not sure or no answer,not sure,Putin,less than 4 hours a day,over 4 hours a day,college,high,unemployed pensioner,,,0.6112123661948277
0716890ac90ce84d,male,44.0,central,city with population of 100-500k,named correct date,likely yes,Putin,several times a week,less than 4 hours a day,college,high,work for hire,commercial organization,housing and communal services,0.550919975533851
0716b508ff8cec92,male,38.0,north caucasian,city with population of less than 50k,named correct date,likely yes,Putin,over 4 hours a day,less than 4 hours a day,college,high,work for hire,law enforcement agency,law enforcement agency,0.6904378509359974
071664673e0ce83e,male,45.0,ural,village,not sure or no answer,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,high,work for hire,law enforcement agency,law enforcement agency,0.8792484736007984
071691fb694cefdb,male,39.0,volga,village,named correct date,likely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,high,work for hire,commercial organization,"industry, manufacturing",0.8151832591026007
071685aae84ce4c6,female,46.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,government agency,education,0.9694421586787264
071666ebfc4ce11b,female,46.0,siberian,city with population of 100-500k,not sure or no answer,definitely yes,Putin,does not watch,over 4 hours a day,college,high,work for hire,government agency,education,0.8117386999572469
071677fba0cce790,male,29.0,ural,city with population of less than 50k,named correct date,likely yes,Putin,several times a week,less than 4 hours a day,school,high,work for hire,hard to say,refused to answer,1.0223836891624238
07164d292fcceebf,male,29.0,far eastern,city with population of 50-100k,not sure or no answer,definitely no,Putin,several times a week,less than 4 hours a day,college,high,work for hire,commercial organization,"industry, manufacturing",1.0284135392593337
0716614f9b8ce131,male,47.0,siberian,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.1029390295437207
07169edf73cce33f,female,29.0,volga,city with population of less than 50k,not sure or no answer,definitely yes,Putin,several times a month,less than 4 hours a day,college,high,parental leave,,,1.3091172694481477
07165e882ccceba2,female,40.0,far eastern,village,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,college,high,work for hire,government agency,education,1.0960718921713608
071679a878cce04f,female,47.0,ural,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,work for hire,government agency,healthcare,1.5680049374053544
0716675bc50ce415,female,47.0,far eastern,city with population of 50-100k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",1.411843090381307
07169ccf83ccec8d,female,30.0,north caucasian,village,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,high,work for hire,government agency,education,2.3149852235662944
0716855c494cef86,female,41.0,ural,city with population of 100-500k,named correct date,definitely no,will not take part,does not watch,less than 4 hours a day,bachelor degree,high,entrepreneur,,trade,1.316601745022101
07168346eb8cec49,female,48.0,central,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,work for hire,non-profit agency,,1.5826242350264557
0716863e0c8ceb36,female,59.0,southern,city with population of less than 50k,named correct date,definitely yes,Putin,once half a year,less than 4 hours a day,college,high,unemployed pensioner,,,0.9122630984327736
071664a8aa8ce1fe,female,48.0,far eastern,settlement,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,high,work for hire,government agency,healthcare,0.9214036905059662
07166a1024ccef24,female,66.0,siberian,settlement,named correct date,likely yes,will not take part,less than 4 hours a day,less than 4 hours a day,bachelor degree,high,unemployed pensioner,,,0.9431678070126058
0716b6a1a48ce689,male,31.0,central,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,bachelor degree,high,work for hire,commercial organization,farming,1.55034888368124
07165f1a524ce426,male,60.0,far eastern,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,several times a week,bachelor degree,high,employed pensioner,government agency,education,1.0488973321167678
07169097084ce9db,female,42.0,central,settlement,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",1.2605444508580654
07166681270ce18e,female,42.0,far eastern,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,bachelor degree,high,work for hire,commercial organization,"industry, manufacturing",1.185477820987809
07169115b88ceb4a,female,49.0,volga,city with population of 500-950k,named correct date,not sure,Putin,several times a week,over 4 hours a day,college,high,work for hire,commercial organization,trade,0.7170116175105445
07166377d50cede2,female,49.0,siberian,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,academic degree,high,work for hire,government agency,social services,1.2724387753226143
07169f65f60ce32c,female,60.0,southern,village,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,high,unemployed pensioner,,,0.8573228236018703
071676a9d3cce823,male,32.0,ural,village,named correct date,definitely yes,Putin,several times a month,less than 4 hours a day,college,high,self-employed,,"industry, manufacturing",1.1705370856948414
0716a652834ce4ce,male,25.0,volga,city with population of 100-500k,named correct date,definitely yes,struggle to answer,does not watch,over 4 hours a day,academic degree,high,work for hire,commercial organization,trade,1.0820310921117826
07165690948cee1a,male,32.0,far eastern,city with population of 100-500k,named correct year,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,school,high,entrepreneur,,other,0.8311070346629165
07166b78640cead2,male,43.0,far eastern,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,high,work for hire,hard to say,"construction, architecture",0.6688943099574075
0716c9c76e8cee63,male,50.0,central,village,named correct date,definitely yes,Putin,does not watch,once half a year,college,high,hard to say,,,0.9013788044655104
07169030eb0ce128,male,50.0,volga,village,named correct date,definitely yes,struggle to answer,does not watch,several times a week,school,high,work for hire,law enforcement agency,law enforcement agency,0.9414385579003796
071671189a8ce16d,male,50.0,ural,village,named correct year,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,high,work for hire,commercial organization,farming,0.8792484736007984
071663507d8ce771,male,50.0,siberian,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,does not use internet,college,high,hard to say,,,0.6805507782961154
0716b09c2b4ce58b,female,32.0,central,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,high,unemployed,,,1.4350438694739045
071669c2c68cefb2,female,25.0,siberian,village,named correct year,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,high,parental leave,,,1.534972021997199
071699f867cce650,female,25.0,north caucasian,city with population of 500-950k,named correct date,definitely yes,Putin,several times a week,several times a week,bachelor degree,high,parental leave,,,1.478177943346152
